,,,,,,,,,
Name,Item,Link,HD Number,Sku,each,Cost,,Total,422.8
,Time Control Solenoid,"Generic Replacement Hot/Cold one output 120V Solenoid, Dishwasher valve",,,1,15.00,15,,
,,,,,,,42.92,42.92,
,,,,,,,,,
Accumulator,Water bag,https://backwoods.com/hydrapak-seeker.html?gclid=EAIaIQobChMI6M7Us_LM6AIVkf5kCh0CXAhpEAYYAyABEgL5mfD_BwE,,,1,20.00,20,,
,Hose Barb Adapter  1/2ID x 1/2 MIP,https://www.homedepot.com/p/Everbilt-1-2-in-ID-x-1-2-in-MIP-Plastic-Hose-Barb-Adapter-Fitting-800409/300862730,891 450,8 87480 00409 0,1,2.30,2.3,,
,,,,,,,22.3,22.3,
,,,,,,,,,
PATIENT / OUT valve,Adapter 1/2 to Garden,https://www.homedepot.com/p/Everbilt-3-4-in-FHT-x-1-2-in-Lead-Free-Brass-Garden-Hose-Barb-Adapter-Fitting-801739/300096755,,,2,12.20,24.4,,
,1/2 barb T,https://www.homedepot.com/p/Everbilt-1-2-in-I-D-Plastic-Hose-Barb-Tee-Fitting-800389/300862720,,,1,3.52,3.52,,
,Time Control Solenoid,"Generic Replacement Hot/Cold one output 120V Solenoid, Dishwasher valve",,,1,15.00,15,,
,,,,,,,42.92,42.92,
,,,,,,,,,
,,,,,,,,,
Patient Output,1/2 barb T,https://www.homedepot.com/p/Everbilt-1-2-in-I-D-Plastic-Hose-Barb-Tee-Fitting-800389/300862720,,,1,3.52,3.52,3.52,
,,,,,,,,,
,,,,,,,,,
EXHAUST Valve,Adapter 1/2 to Garden,https://www.homedepot.com/p/Everbilt-3-4-in-FHT-x-1-2-in-Lead-Free-Brass-Garden-Hose-Barb-Adapter-Fitting-801739/300096755,,,2,12.20,24.4,,
,1/2 barb T,https://www.homedepot.com/p/Everbilt-1-2-in-I-D-Plastic-Hose-Barb-Tee-Fitting-800389/300862720,,,1,3.52,3.52,,
,Time Control Solenoid,"Generic Replacement Hot/Cold one output 120V Solenoid, Dishwasher valve",,,1,15.00,15,,
,,,,,,,42.92,42.92,
,,,,,,,,,
Controller Electronics,,,,,,,,,
Arudino Uno,,https://www.robotshop.com/en/arduino-uno-rev3-smd.html?gclid=EAIaIQobChMInPjklfbM6AIVh-NkCh2F_wrlEAkYAiABEgKw2fD_BwE,,,1,20.75,20.75,,
Relay Board,,https://www.robotshop.com/en/4-channel-5v-relay-shield-module.html?gclid=EAIaIQobChMIlqftyfXM6AIVgv5kCh2Z2gk_EAQYBCABEgLUiPD_BwE,,,1,8.49,8.49,,
5v Supply,,https://www.monoprice.com/product?p_id=16071&gclid=EAIaIQobChMIzM781vbM6AIVVCCtBh1tyQD-EAQYBiABEgLFp_D_BwE,,,1,4.10,4.1,,
Misc Wiring and Crimp Connectors,,,,,,,5,,
,,,,,,,38.34,38.34,
,,,,,,PACMAN,202.38,,
,,,,,,,,,
